ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
1,0,12,0,16,0,16,0,0,0
2,0,48,1,18,0,16,0,0,0
3,1,28,1,15,30,13,0,0,0
4,0,18,0,16,6,14,0,0,0
5,1,16,0,16,0,15,0,0,0
6,1,24,1,17,0,16,4,1,1
7,1,27,1,14,30,13,5,1,1
8,0,34,0,28,0,24,0,0,0
9,1,16,0,16,30,15,1,1,1
10,1,13,0,16,0,15,0,0,0
11,0,17,0,16,0,16,0,0,0
12,1,26,1,15,0,10,0,0,0
13,1,17,0,15,30,16,3,1,1
14,1,30,1,17,0,18,1,1,1
15,1,56,0,19,0,21,0,0,0
16,1,62,0,17,0,18,0,0,0
17,0,32,0,15,7,10,0,0,0
18,0,22,1,17,0,18,0,0,0
19,1,12,0,15,0,14,0,0,0
20,1,36,0,23,11,17,2,1,1
21,0,16,0,16,0,16,0,0,0
22,0,26,0,17,0,17,0,0,0
23,1,31,0,19,0,16,0,0,0
24,0,67,0,20,12,22,0,0,0
25,0,65,0,20,0,21,5,1,1
26,0,29,1,17,0,18,2,1,1
27,1,16,0,15,7,15,0,0,0
28,0,65,0,18,23,21,0,0,0
29,0,25,1,17,0,17,0,0,0
30,0,44,0,14,30,30,0,0,0
31,1,31,0,14,30,25,8,1,2
32,1,14,0,16,0,15,0,0,0
33,0,34,0,16,0,17,0,0,0
34,1,32,1,21,30,18,1,1,1
35,0,39,0,16,0,15,6,1,1
36,1,25,1,16,0,15,4,1,1
37,0,18,0,16,6,13,5,1,1
38,0,77,0,18,30,20,0,0,0
39,0,72,0,19,0,16,0,0,0
40,0,17,0,12,5,12,0,0,0
41,1,63,0,14,0,10,3,1,1
42,0,60,0,19,0,18,0,0,0
43,1,38,1,16,0,12,0,0,0
44,0,85,0,23,0,25,0,0,0
45,0,45,0,18,0,18,0,0,0
46,0,14,0,16,0,16,0,0,0
47,1,20,0,15,8,14,4,1,1
48,1,21,0,18,30,15,6,1,1
49,0,24,0,15,30,18,14,1,2
50,1,77,0,26,30,15,14,1,2
51,1,23,1,17,0,19,4,1,1
52,1,13,0,13,12,12,30,1,2
53,0,26,0,17,0,17,0,0,0
54,0,31,0,17,15,16,4,1,1
55,0,27,1,15,4,16,1,1,1
56,0,31,0,26,0,18,1,1,1
57,1,19,0,16,0,15,0,0,0
58,1,13,0,15,7,11,1,1,1
59,0,39,1,20,1,25,1,1,1
60,1,22,0,17,20,18,2,1,1
61,0,12,0,16,0,16,0,0,0
62,0,21,0,17,0,19,2,1,1
63,1,17,0,13,6,16,2,1,1
64,0,33,0,17,0,18,0,0,0
65,1,19,0,15,5,13,2,1,1
66,1,60,0,12,12,21,1,1,1
67,0,72,0,42,30,21,1,1,1
68,1,34,1,18,20,18,0,0,0
69,0,51,0,19,0,20,0,0,0
70,0,25,0,14,6,14,0,0,0
71,0,12,0,16,0,16,0,0,0
72,0,42,1,18,0,15,0,0,0
73,1,14,0,16,0,15,0,0,0
74,1,25,0,16,1,14,0,0,0
75,0,24,1,17,0,18,2,1,1
76,0,40,1,21,0,16,0,0,0
77,0,65,0,22,0,27,0,0,0
78,1,60,0,15,0,18,0,0,0
79,0,14,0,16,0,16,0,0,0
80,0,14,0,16,0,16,0,0,0
81,1,44,1,18,0,17,0,0,0
82,1,17,0,16,30,15,0,0,0
83,1,47,0,12,0,35,0,0,0
84,0,82,0,21,0,16,3,1,1
85,0,13,0,16,0,16,0,0,0
86,0,28,0,17,0,18,1,1,1
87,1,14,0,16,6,15,0,0,0
88,1,19,1,16,0,16,0,0,0
89,1,22,0,13,30,15,30,1,2
90,0,20,1,16,0,16,0,0,0
91,0,34,0,17,0,18,0,0,0
92,0,25,1,17,0,17,0,0,0
93,0,20,0,17,0,20,0,0,0
94,0,39,0,18,3,22,0,0,0
95,1,51,0,17,0,17,1,1,1
96,1,25,1,20,30,20,2,1,1
97,1,25,1,16,18,18,8,1,2
98,0,19,1,18,30,18,3,1,1
99,0,50,1,18,0,15,0,0,0
100,1,28,0,20,30,18,2,1,1
101,1,34,1,17,30,16,1,1,1
102,1,34,1,20,30,20,2,1,1
103,0,30,1,17,30,20,0,0,0
104,1,49,0,14,14,14,6,1,1
105,0,14,0,15,0,11,2,1,1
106,0,13,0,16,0,16,0,0,0
107,1,15,0,16,0,15,0,0,0
108,0,12,0,16,0,16,0,0,0
109,1,28,0,22,30,22,0,0,0
110,0,68,0,34,30,25,0,0,0
111,0,44,1,19,0,18,1,1,1
112,0,36,1,18,0,18,0,0,0
