"id","female","age","discrim","victim","familism","internalize"
1,0,17,12,1,32,4
2,1,16,12,2,33,18
3,1,14,14,3,19,15
4,0,15,17,3,26,8
5,1,16,10,0,33,9
6,0,15,14,1,30,11
7,0,17,16,0,38,10
8,1,15,14,1,32,16
9,0,16,13,2,32,13
10,0,17,11,0,30,1
11,1,17,12,2,29,19
12,1,17,17,2,31,11
13,0,17,8,0,31,0
14,0,17,11,0,29,5
15,1,17,11,0,28,9
16,1,14,12,1,32,9
17,1,17,28,0,20,41
18,1,14,10,5,8,23
19,0,16,7,0,34,0
20,1,15,18,2,31,14
21,1,16,20,1,28,28
22,1,14,18,4,25,31
23,0,14,12,0,27,1
24,1,14,15,0,27,29
25,1,16,22,0,32,21
26,1,14,8,0,34,14
27,0,14,10,0,26,4
28,1,17,11,4,25,12
29,0,15,18,20,26,21
30,1,17,15,0,22,33
31,0,16,12,7,21,6
32,1,16,10,1,38,13
33,1,14,18,4,34,10
34,1,14,14,0,29,9
35,1,16,13,12,28,18
36,0,17,11,2,38,0
37,0,16,18,1,32,22
38,1,16,19,1,31,19
39,0,15,9,1,30,5
40,1,14,12,2,33,10
41,1,15,12,1,34,17
42,0,15,14,0,16,22
43,0,15,22,2,31,8
44,1,17,11,1,26,16
45,1,16,15,10,24,14
46,1,17,13,3,33,9
47,1,16,14,1,23,0
48,1,16,12,1,15,11
49,1,15,15,1,27,38
50,1,15,26,2,20,33
51,1,16,13,4,32,15
52,1,16,22,0,20,21
53,1,16,14,2,31,12
54,0,15,10,4,29,15
55,0,17,12,0,31,11
56,1,14,15,4,24,24
57,1,15,11,2,30,0
58,0,17,12,1,31,7
59,1,17,11,1,32,9
60,0,16,12,1,24,12
61,0,14,18,0,32,7
62,0,17,12,5,33,8
63,1,17,14,0,24,24
64,0,14,13,0,31,0
65,0,17,15,2,27,25
66,1,15,11,2,33,9
67,1,15,9,1,29,8
68,1,17,12,1,30,22
69,0,15,11,0,37,2
70,0,17,13,0,31,5
71,0,15,12,1,34,5
72,0,16,14,1,29,17
73,1,14,10,2,35,14
74,1,17,19,4,26,13
75,1,16,15,2,36,18
76,1,17,9,0,33,15
77,0,17,11,0,28,4
78,0,16,12,0,30,7
79,0,15,16,1,34,12
80,0,15,14,4,36,7
81,0,17,13,2,35,0
82,0,16,14,0,24,23
83,1,16,20,1,24,15
84,1,14,17,6,24,12
85,0,15,20,4,30,14
86,1,15,12,0,35,14
87,0,17,13,0,34,0
88,0,15,12,2,25,8
89,1,16,12,2,25,12
90,1,16,12,1,29,12
91,0,17,13,2,28,5
92,0,16,24,1,5,26
93,1,15,15,0,23,31
94,0,14,9,0,37,3
95,1,15,9,0,37,10
96,0,16,21,17,23,16
97,0,15,13,0,32,10
98,0,14,12,2,37,8
99,1,15,11,2,22,9
100,0,17,14,0,26,29
101,1,17,11,1,32,13
102,1,16,11,0,31,21
103,1,17,14,1,31,21
104,1,16,11,3,26,20
105,0,14,10,1,14,10
106,0,17,17,2,28,9
107,1,15,19,3,25,9
108,0,16,14,1,32,10
109,1,17,14,0,36,14
110,0,15,12,1,25,22
111,0,17,10,2,29,11
112,0,17,11,1,30,7
113,0,16,10,0,25,17
114,0,17,14,0,30,19
115,0,16,12,1,28,16
116,1,16,13,0,31,24
117,0,15,17,15,30,22
118,0,15,15,2,31,35
119,0,16,10,0,32,0
120,0,16,9,0,34,1
121,0,16,15,4,30,9
122,0,15,18,0,18,11
123,0,15,9,0,37,6
124,1,16,21,1,25,23
125,1,14,11,0,30,14
126,1,15,14,0,22,17
127,0,17,14,0,29,11
128,0,17,24,4,29,23
129,1,16,11,0,36,4
130,1,16,12,0,31,19
131,0,15,19,0,23,14
132,0,16,11,0,34,5
133,0,15,10,1,22,16
134,0,16,18,1,28,14
135,0,14,13,10,27,23
136,0,15,13,2,29,5
137,1,15,10,1,33,12
138,1,14,15,2,30,7
139,1,17,22,0,32,6
140,1,17,17,2,15,40
141,0,17,10,5,32,14
142,1,16,13,0,15,27
143,0,14,9,20,27,22
144,1,17,15,0,31,16
145,0,16,10,0,31,12
146,1,17,15,0,31,12
147,1,15,15,5,38,4
148,1,14,13,0,30,6
149,1,16,13,4,23,9
150,1,14,10,0,21,27
151,0,15,10,0,28,7
152,0,17,10,1,34,11
153,0,16,12,2,27,15
154,1,16,10,1,24,17
155,0,17,12,2,24,4
156,1,16,17,0,29,13
157,0,15,11,0,29,3
158,1,16,12,2,27,23
159,1,16,12,0,29,14
160,1,17,13,0,25,43
161,1,14,11,4,26,10
162,0,15,9,0,24,16
163,0,15,12,0,29,16
164,1,16,15,3,11,60
165,0,16,11,1,33,9
166,0,15,16,6,25,19
167,1,17,22,1,29,35
168,1,15,16,1,24,13
169,0,16,20,3,24,7
170,0,17,12,2,25,20
171,0,15,9,0,31,0
172,0,14,12,2,39,13
173,0,17,10,0,32,14
174,1,17,18,3,28,33
175,1,15,12,0,23,10
176,1,14,12,1,26,35
177,1,16,14,20,6,30
178,0,16,12,2,14,38
179,0,17,18,1,27,17
180,0,15,8,2,19,14
181,0,14,11,2,32,10
182,1,16,13,15,19,34
183,0,16,10,0,31,3
184,0,16,10,1,37,7
185,0,17,13,3,29,8
186,1,17,11,0,31,15
187,0,14,9,1,35,11
188,1,17,8,1,32,9
189,0,16,10,0,28,9
190,0,14,12,2,32,10
191,1,15,11,1,27,24
192,1,16,12,1,28,12
193,0,16,16,1,32,18
194,0,15,11,0,36,9
195,0,15,12,2,29,12
196,0,15,12,0,27,2
197,1,15,10,0,18,18
198,1,17,9,0,40,11
199,0,15,13,19,20,30
200,1,17,13,0,34,10
201,0,15,10,0,18,9
202,1,16,12,1,30,3
203,1,14,16,5,23,15
204,1,17,12,3,29,15
205,1,17,16,1,23,27
206,0,15,9,3,29,16
207,0,16,12,1,27,8
208,1,17,15,12,31,24
209,0,17,16,1,24,14
210,1,16,13,0,37,8
211,0,15,12,0,16,19
212,1,17,15,3,19,14
213,0,15,14,0,20,36
214,0,14,16,2,35,9
215,1,15,13,0,28,9
216,0,17,11,0,12,21
217,0,15,13,2,33,7
218,0,17,14,2,31,1
219,0,15,17,2,26,10
220,0,14,9,0,32,10
221,0,15,14,5,33,12
222,0,14,17,1,33,9
223,1,16,14,1,31,24
224,1,15,12,1,30,16
225,0,16,10,2,35,0
226,1,14,11,1,22,13
227,0,17,11,2,31,4
228,0,15,19,2,29,11
229,1,17,13,0,23,14
230,0,15,18,6,27,32
231,0,15,20,3,15,35
232,1,17,10,0,34,18
233,1,15,16,0,29,19
234,1,15,12,1,36,19
235,0,17,11,1,38,0
236,0,14,15,19,26,21
237,0,16,20,1,28,23
238,1,17,14,0,35,4
239,0,14,9,1,35,8
240,1,16,12,0,32,28
241,0,15,11,19,16,9
242,0,16,9,1,29,12
243,1,17,13,6,24,33
244,1,14,11,1,29,11
245,1,14,12,12,32,11
246,1,15,12,0,21,12
247,0,17,11,0,35,13
248,1,14,25,1,34,39
249,1,16,13,2,31,54
250,1,16,9,0,27,14
251,0,16,10,0,32,8
252,1,17,16,6,32,32
253,1,15,24,10,26,43
254,1,15,15,1,35,40
255,1,16,18,1,32,16
256,0,16,12,13,29,12
257,1,16,16,2,24,7
258,1,17,13,4,18,21
259,0,17,10,0,35,14
260,0,15,18,3,18,27
261,0,16,13,1,33,2
262,0,17,10,0,31,7
263,0,15,17,4,30,15
264,1,14,9,1,28,22
265,1,15,15,1,15,21
266,1,14,15,0,28,10
267,1,14,11,0,13,11
268,1,16,13,1,28,20
269,0,15,12,1,22,3
270,0,17,11,0,21,33
271,1,14,15,1,29,11
272,1,17,9,1,30,13
