"id","female","anxdep1","anxdep2","anxdep3","anxdep4","lonely1","lonely2","lonely3","lonely4"
1,0,1,1.5,1.75,1,2,2.25,1.75,1.5
2,0,1,1,1.25,1,1.5,2,2.5,2
3,0,1.25,1,1.25,3,2,1.75,2,2.75
4,0,1,1,1.5,1.25,1.75,1.5,2.5,1.75
5,0,1,1,1,1,1,1,1,1
6,0,1.75,1,1,1,1,1,1,1
7,0,1,1,1,1,1,1,1.5,2
8,0,2.75,2,2.75,1.75,3.25,3.5,2.75,2.25
9,0,2,2.5,1.5,2.75,3,2.75,2.5,2.5
10,0,1.5,2,3,2,1,1.5,2.25,2
11,0,1.5,1.5,1,1.75,2.75,2.5,2.5,2
12,0,1.5,1.25,1.5,2,3.25,2.75,2.25,2.75
13,0,1.25,2.25,2.5,3.25,2.25,2.25,2.5,2.5
14,0,1,1.5,1,1.75,2,2,1.75,1.75
15,0,1,2,2,2.25,1.25,2.25,2.5,2.5
16,0,1.75,1.5,2.75,2.25,3,2.25,2,1.5
17,0,1,1.75,2,1.75,1.25,2,1.25,1.75
18,0,1.25,1,2,1.5,2,2.75,2.75,2.25
19,0,2.25,2.25,3,2.5,2.75,2.5,2.5,2.75
20,0,2.25,1.25,1.75,2.5,1.75,1.25,1.5,2
21,0,1.25,1.5,1.5,2,2.5,2.75,3.25,2.5
22,0,1.75,2.5,3,2.25,1.75,1.5,3,2
23,0,1,3,2.25,2,1,2.25,2.75,2.5
24,0,2.25,2.75,2.5,1.5,2.25,2,1.5,1
25,0,1.5,2,2.75,2,2,1.5,2.25,1
26,0,2.25,2.5,2.75,3,3,3.25,4,4
27,0,1.5,1,1.75,1.75,2.5,1.25,2,2.25
28,0,1.75,1.75,2,2.75,3.25,3.25,4.25,4
29,0,2,1.75,3.5,2.5,1.75,2.25,2.5,2.25
30,0,1,1.25,1.5,1,1,1.25,1.75,2
31,0,1.75,2,1.5,2.5,2.75,2.75,3.25,3
32,0,1.75,2,2,2.5,2.5,2.5,1.75,2.25
33,0,2.25,1,1.75,2,2.5,1.75,2.25,1.25
34,0,1.75,1.5,1.5,1.5,2.5,2.75,2.5,3.5
35,0,2.5,2.75,3.25,2.25,3,3.25,3,3
36,0,1,1.5,1.25,2,1.25,2,1.5,1.75
37,0,1,1.75,2.5,2.5,1.25,2,3.5,3.5
38,0,1,1.25,1.75,2,1.5,1.5,2,2.75
39,0,1.75,1.5,2,3,2.25,2.75,3.5,3.25
40,0,1.25,1.75,1.5,2.25,2.25,2.75,2,2
41,0,1.5,1.25,1.25,1,1.75,1.5,2.25,1.25
42,0,2,1.5,2,2.25,2,2.25,2.25,1.75
43,0,1.75,2.5,2,2,2.5,2.75,3,3.25
44,0,1.25,1.75,1,1,1.25,1.25,1,1.5
45,0,1.25,1.25,1,2.25,3.25,2.25,2.5,3.75
46,0,2.25,3,2,2,2.25,3,1.75,2.5
47,0,1.5,2.5,1.25,1,2,2.25,1.5,2
48,0,1,1,1.5,1.5,1,1,1.25,2.25
49,0,2,2.25,2.5,1.75,1.25,2,2.75,1
50,0,1.5,2.25,2.25,2.5,2.25,2.5,2.25,2
51,0,1,1.25,1.25,1.25,2,2.25,2.75,1.5
52,0,1,1,1,1,1,1,1,1
53,0,2,1.5,2,2,1.5,2,2.25,2.25
