"id","cigsperday","hvysmoker","age","parsmoke","female","race","income","pareduc"
1,4,0,19,1,0,1,9,1
2,3,0,24,0,0,1,12,2
3,5,0,20,1,0,1,6,2
4,1,0,19,0,1,1,9,2
5,1,0,18,0,1,1,11,3
6,2,0,21,0,0,1,1,1
7,12,1,21,1,1,1,4,3
8,4,0,19,0,0,1,1,2
9,2,0,20,0,1,2,4,2
10,1,0,21,0,1,1,13,2
11,7,1,22,1,1,1,3,3
12,1,0,21,1,1,1,12,3
13,5,0,24,0,1,2,4,2
14,0,0,21,0,1,1,15,3
15,8,1,21,1,0,3,6,2
16,3,0,21,1,0,2,14,3
17,0,0,20,0,1,1,12,3
18,6,1,22,0,1,4,9,1
19,3,0,23,0,0,1,11,3
20,3,0,25,0,0,3,3,2
21,2,0,19,0,1,1,10,2
22,4,0,24,1,1,1,1,2
23,0,0,20,0,0,1,5,2
24,9,1,22,1,1,1,4,2
25,5,0,25,0,0,1,10,2
26,8,1,24,0,1,3,8,2
27,7,1,23,1,1,1,8,2
28,4,0,23,0,1,1,8,2
29,2,0,25,0,1,3,10,3
30,1,0,18,1,0,3,7,2
31,2,0,19,0,0,1,14,2
32,6,1,22,0,0,1,3,2
33,3,0,21,1,0,1,10,2
34,9,1,25,0,1,1,7,2
35,4,0,19,0,0,3,4,1
36,4,0,24,0,1,3,2,1
37,5,0,25,0,0,1,10,2
38,8,1,25,1,1,1,9,2
39,15,1,25,0,0,4,6,2
40,5,0,20,0,1,3,2,2
41,13,1,20,0,0,2,10,2
42,4,0,19,1,1,1,4,2
43,1,0,18,0,0,3,1,2
44,1,0,19,0,0,4,9,2
45,4,0,20,1,0,1,7,2
46,1,0,19,0,0,3,8,2
47,9,1,23,0,1,3,12,2
48,8,1,24,1,0,1,9,2
49,7,1,18,1,1,3,5,2
50,3,0,25,0,1,1,8,2
51,8,1,22,0,0,3,3,2
52,15,1,22,0,0,1,3,2
53,3,0,20,0,1,1,18,3
54,0,0,18,0,0,1,6,3
55,15,1,18,0,1,1,3,2
56,10,1,22,0,0,1,8,2
57,2,0,25,0,1,2,11,3
58,10,1,21,1,1,1,13,3
