id,team,turnover,male,empower,lmx,relqual,jobsat,climate
1,1,0,1,32,11,0,3,18
2,1,1,1,36,13,1,4,18
3,1,1,1,30,9,0,4,18
4,1,1,1,29,8,0,3,18
5,1,1,0,26,7,0,4,18
6,1,0,0,29,10,0,4,18
7,2,0,0,29,11,0,5,17
8,2,0,1,22,9,0,3,17
9,2,0,0,23,5,0,2,17
10,2,0,0,32,9,0,4,17
11,2,0,1,31,12,1,5,17
12,2,1,0,36,13,1,4,17
13,3,0,0,16,0,0,3,22
14,3,1,0,25,8,0,3,22
15,3,0,1,31,15,1,3,22
16,3,0,1,27,9,0,6,22
17,3,0,1,30,9,0,4,22
18,3,0,1,23,7,0,3,22
19,4,0,0,30,13,1,3,20
20,4,1,0,26,11,0,5,20
21,4,0,1,27,8,0,4,20
22,4,1,1,42,10,0,4,20
23,4,0,1,24,8,0,5,20
24,4,0,0,37,16,1,6,20
25,5,0,0,33,12,1,4,23
26,5,0,1,37,13,1,4,23
27,5,0,1,29,9,0,4,23
28,5,0,1,32,9,0,5,23
29,5,0,0,24,6,0,4,23
30,5,1,0,31,6,0,3,23
31,6,1,0,21,2,0,3,19
32,6,1,0,29,8,0,3,19
33,6,0,1,29,12,1,5,19
34,6,0,1,25,9,0,5,19
35,6,0,0,27,12,1,5,19
36,6,1,1,36,11,0,5,19
37,7,1,1,29,4,0,2,12
38,7,0,1,26,9,0,4,12
39,7,1,0,26,6,0,2,12
40,7,0,1,26,10,0,4,12
41,7,1,1,31,9,0,4,12
42,7,0,0,33,8,0,4,12
43,8,0,0,21,8,0,4,16
44,8,0,0,26,12,1,5,16
45,8,0,1,25,5,0,5,16
46,8,1,1,31,9,0,3,16
47,8,0,1,29,5,0,3,16
48,8,0,0,27,10,0,4,16
49,9,0,0,27,7,0,5,23
50,9,0,0,28,9,0,5,23
51,9,0,0,26,7,0,4,23
52,9,0,1,29,12,1,4,23
53,9,1,1,28,10,0,4,23
54,9,0,0,25,9,0,5,23
55,0,1,1,33,8,0,4,24
56,0,1,0,27,9,0,3,24
57,0,0,1,29,6,0,4,24
58,0,0,1,36,14,1,4,24
59,0,0,0,24,8,0,4,24
60,0,0,1,22,5,0,3,24
61,1,1,0,28,8,0,3,15
62,1,0,1,26,7,0,6,15
63,1,0,0,30,11,0,4,15
64,1,0,1,28,8,0,4,15
65,1,0,1,28,8,0,3,15
66,1,1,0,25,5,0,3,15
67,2,0,1,36,10,0,5,18
68,2,0,1,32,5,0,3,18
69,2,0,0,30,11,0,4,18
70,2,0,0,30,12,1,7,18
71,2,1,0,34,9,0,3,18
72,2,0,1,38,7,0,4,18
73,3,0,1,24,5,0,5,19
74,3,0,1,23,2,0,4,19
75,3,0,0,25,10,0,4,19
76,3,1,0,27,11,0,4,19
77,3,1,1,24,6,0,3,19
78,3,0,1,28,8,0,4,19
79,4,1,1,24,3,0,2,20
80,4,0,1,30,8,0,3,20
81,4,1,0,22,7,0,2,20
82,4,1,0,27,8,0,4,20
83,4,0,0,38,10,0,4,20
84,4,1,1,30,4,0,4,20
85,5,0,1,34,9,0,3,15
86,5,0,1,24,13,1,5,15
87,5,1,1,21,5,0,3,15
88,5,0,1,33,12,1,3,15
89,5,0,1,35,10,0,5,15
90,5,1,1,23,11,0,1,15
91,6,0,1,28,9,0,5,24
92,6,0,1,32,9,0,6,24
93,6,1,0,24,4,0,3,24
94,6,0,1,34,12,1,5,24
95,6,0,0,34,8,0,5,24
96,6,1,0,29,12,1,6,24
97,7,1,0,29,4,0,3,15
98,7,1,0,30,11,0,3,15
99,7,0,0,26,10,0,5,15
100,17,0,1,33,10,0,4,15
101,17,1,1,29,6,0,4,15
102,17,0,0,21,12,1,6,15
103,18,0,1,32,10,0,1,16
104,18,1,0,22,10,0,4,16
105,18,0,1,28,9,0,3,16
106,18,1,1,32,13,1,4,16
107,18,0,0,27,10,0,2,16
108,18,1,1,34,17,1,6,16
109,19,0,0,28,8,0,5,22
110,19,0,0,33,13,1,4,22
111,19,0,1,35,9,0,4,22
112,19,0,0,26,4,0,7,22
113,19,0,1,33,6,0,3,22
114,19,0,0,36,11,0,4,22
115,20,0,0,23,9,0,3,14
116,20,1,0,22,6,0,4,14
117,20,0,0,29,12,1,4,14
118,20,0,0,26,15,1,4,14
119,20,1,0,29,10,0,3,14
120,20,0,0,24,9,0,4,14
121,21,0,1,25,7,0,3,19
122,21,1,0,35,17,1,4,19
123,21,1,0,17,5,0,2,19
124,21,0,0,35,14,1,5,19
125,21,0,0,26,9,0,5,19
126,21,0,1,37,10,0,3,19
127,22,0,1,39,10,0,5,24
128,22,0,1,31,7,0,4,24
129,22,0,1,32,6,0,3,24
130,22,0,1,33,9,0,6,24
131,22,0,0,32,5,0,3,24
132,22,0,1,31,6,0,3,24
133,23,0,1,28,11,0,4,24
134,23,0,0,22,10,0,4,24
135,23,0,0,37,14,1,5,24
136,23,0,1,33,11,0,5,24
137,23,0,1,30,9,0,4,24
138,23,0,1,35,13,1,6,24
139,24,0,0,28,10,0,3,19
140,24,0,1,36,14,1,4,19
141,24,1,0,27,13,1,3,19
142,24,0,0,26,11,0,2,19
143,24,0,0,24,9,0,1,19
144,24,0,1,31,13,1,4,19
145,25,0,1,34,10,0,4,20
146,25,1,0,26,8,0,1,20
147,25,0,0,34,6,0,4,20
148,25,1,0,26,6,0,2,20
149,25,0,1,33,10,0,3,20
150,25,0,0,28,6,0,4,20
151,26,0,1,29,9,0,4,22
152,26,0,0,32,12,1,4,22
153,26,1,0,23,10,0,3,22
154,26,0,0,22,9,0,5,22
155,26,0,1,31,7,0,3,22
156,26,0,1,26,10,0,4,22
157,27,1,1,34,8,0,3,21
158,27,0,1,32,12,1,4,21
159,27,0,1,33,13,1,6,21
160,27,1,1,29,7,0,5,21
161,27,0,0,20,4,0,5,21
162,27,0,0,29,12,1,5,21
163,28,1,1,25,3,0,5,26
164,28,0,1,30,9,0,5,26
165,28,0,1,29,8,0,7,26
166,28,0,0,30,8,0,5,26
167,28,1,0,26,9,0,3,26
168,28,0,1,34,11,0,7,26
169,29,0,1,30,12,1,4,19
170,29,0,1,30,12,1,3,19
171,29,1,1,32,11,0,3,19
172,29,0,0,23,5,0,4,19
173,29,0,0,25,14,1,4,19
174,29,0,1,35,13,1,5,19
175,30,1,0,26,9,0,4,21
176,30,1,0,22,14,1,7,21
177,30,1,0,30,7,0,2,21
178,30,0,0,30,14,1,6,21
179,30,0,1,29,14,1,5,21
180,30,1,1,32,14,1,3,21
181,31,1,0,28,10,0,3,21
182,31,0,0,35,14,1,4,21
183,31,1,1,22,8,0,5,21
184,31,0,1,35,11,0,3,21
185,31,0,0,27,15,1,5,21
186,31,0,1,28,12,1,7,21
187,32,1,1,23,9,0,3,15
188,32,0,0,28,9,0,3,15
189,32,0,0,29,12,1,3,15
190,32,1,0,25,6,0,4,15
191,32,1,0,29,11,0,3,15
192,32,0,0,25,5,0,4,15
193,33,1,1,32,8,0,3,19
194,33,0,1,31,12,1,6,19
195,33,0,0,23,14,1,4,19
196,33,0,0,33,13,1,5,19
197,33,0,1,34,10,0,3,19
198,33,0,1,32,11,0,3,19
199,34,1,1,27,9,0,4,24
200,34,0,1,30,11,0,4,24
201,34,1,0,35,11,0,5,24
202,34,0,1,30,8,0,6,24
203,34,0,1,31,12,1,4,24
204,34,0,1,33,13,1,3,24
205,35,0,0,33,15,1,7,33
206,35,0,1,38,12,1,6,33
207,35,0,1,32,8,0,5,33
208,35,0,1,30,7,0,3,33
209,35,0,1,42,15,1,7,33
210,35,0,0,18,4,0,2,33
211,36,0,0,22,8,0,5,26
212,36,0,0,23,9,0,5,26
213,36,0,1,31,11,0,5,26
214,36,0,0,29,10,0,3,26
215,36,0,0,20,10,0,5,26
216,36,0,1,20,9,0,5,26
217,37,1,0,36,6,0,4,17
218,37,0,1,32,9,0,3,17
219,37,1,0,26,7,0,2,17
220,37,0,0,26,11,0,2,17
221,37,1,0,23,10,0,4,17
222,37,0,0,31,11,0,5,17
223,38,1,1,30,7,0,3,27
224,38,0,0,36,11,0,5,27
225,38,0,1,28,11,0,3,27
226,38,0,1,26,10,0,4,27
227,38,0,0,31,9,0,5,27
228,38,0,0,25,8,0,4,27
229,39,0,0,30,12,1,6,19
230,39,0,1,23,8,0,4,19
231,39,0,1,40,15,1,5,19
232,39,1,1,27,12,1,3,19
233,39,1,0,22,9,0,5,19
234,39,1,1,34,15,1,4,19
235,40,0,1,30,10,0,4,15
236,40,0,1,17,8,0,4,15
237,40,1,1,26,10,0,2,15
238,40,0,0,25,14,1,6,15
239,40,0,1,28,15,1,5,15
240,40,0,0,20,16,1,6,15
241,41,0,1,32,13,1,5,23
242,41,0,0,30,10,0,4,23
243,41,0,1,34,13,1,4,23
244,41,1,0,24,8,0,2,23
245,41,0,1,41,17,1,5,23
246,41,0,0,28,8,0,6,23
247,42,1,1,28,11,0,5,18
248,42,1,1,32,7,0,4,18
249,42,0,0,28,12,1,4,18
250,42,1,0,29,14,1,3,18
251,42,0,1,27,9,0,2,18
252,42,0,0,27,13,1,5,18
253,43,0,0,30,12,1,4,15
254,43,0,1,27,9,0,5,15
255,43,0,1,36,11,0,5,15
256,43,0,0,23,14,1,4,15
257,43,1,0,29,13,1,4,15
258,43,1,1,23,13,1,3,15
259,44,1,0,28,10,0,2,21
260,44,0,0,33,15,1,6,21
261,44,0,1,26,10,0,4,21
262,44,0,1,31,10,0,4,21
263,44,1,1,35,15,1,7,21
264,44,0,0,25,8,0,6,21
265,45,0,0,25,11,0,4,12
266,45,1,1,25,9,0,1,12
267,45,1,1,29,7,0,4,12
268,45,0,0,22,9,0,4,12
269,45,1,0,19,5,0,1,12
270,45,1,1,28,11,0,4,12
271,46,1,0,21,6,0,2,17
272,46,1,0,35,12,1,3,17
273,46,0,0,28,8,0,3,17
274,46,0,1,33,14,1,5,17
275,46,0,0,23,9,0,3,17
276,46,0,0,29,10,0,5,17
277,47,0,0,29,8,0,4,23
278,47,1,1,37,5,0,3,23
279,47,1,0,32,7,0,2,23
280,47,0,0,27,10,0,3,23
281,47,0,1,33,9,0,2,23
282,47,1,1,32,7,0,6,23
283,48,0,0,24,5,0,4,24
284,48,0,1,28,11,0,6,24
285,48,0,0,23,7,0,2,24
286,48,0,0,30,11,0,5,24
287,48,0,0,22,5,0,6,24
288,48,0,0,27,8,0,3,24
289,49,0,0,31,10,0,6,21
290,49,1,0,24,9,0,4,21
291,49,1,0,36,14,1,4,21
292,49,0,1,33,9,0,5,21
293,49,0,1,31,15,1,7,21
294,49,0,1,27,6,0,5,21
295,50,1,0,27,9,0,5,22
296,50,0,0,28,8,0,3,22
297,50,0,0,30,13,1,4,22
298,50,0,0,28,14,1,4,22
299,50,0,1,34,13,1,6,22
300,50,1,0,27,8,0,3,22
301,51,0,0,28,12,1,6,26
302,51,0,1,38,17,1,6,26
303,51,0,0,35,13,1,6,26
304,51,0,1,36,17,1,6,26
305,51,0,1,23,5,0,5,26
306,51,0,1,32,11,0,4,26
307,52,0,1,32,8,0,5,19
308,52,0,0,28,10,0,4,19
309,52,1,1,30,13,1,6,19
310,52,0,1,28,8,0,4,19
311,52,0,0,31,9,0,4,19
312,52,1,1,37,9,0,4,19
313,53,0,1,27,7,0,3,21
314,53,0,0,35,10,0,4,21
315,53,0,0,29,8,0,1,21
316,53,0,0,32,9,0,4,21
317,53,0,0,29,10,0,5,21
318,53,0,0,29,8,0,4,21
319,54,0,1,30,16,1,5,21
320,54,1,1,22,13,1,3,21
321,54,0,1,24,10,0,5,21
322,54,0,1,33,12,1,5,21
323,54,0,1,29,17,1,5,21
324,54,0,1,27,15,1,4,21
325,55,0,0,28,7,0,3,18
326,55,0,0,26,6,0,2,18
327,55,0,0,27,5,0,4,18
328,55,0,0,28,10,0,4,18
329,55,0,0,24,8,0,4,18
330,55,0,0,27,6,0,4,18
331,56,0,1,26,10,0,5,14
332,56,1,0,23,8,0,2,14
333,56,1,0,19,8,0,2,14
334,56,1,1,27,11,0,1,14
335,56,1,0,23,9,0,2,14
336,56,0,0,22,15,1,6,14
337,57,0,0,29,12,1,5,12
338,57,0,0,26,9,0,5,12
339,57,1,1,25,16,1,3,12
340,57,0,0,25,11,0,3,12
341,57,1,1,27,12,1,3,12
342,57,0,0,31,10,0,2,12
343,58,0,0,20,8,0,3,18
344,58,0,1,29,8,0,5,18
345,58,0,0,33,9,0,5,18
346,58,0,1,32,13,1,5,18
347,58,1,0,28,7,0,2,18
348,58,0,0,29,10,0,4,18
349,59,0,1,30,11,0,5,13
350,59,0,0,28,7,0,4,13
351,59,0,0,29,13,1,2,13
352,59,0,0,21,9,0,3,13
353,59,1,0,26,10,0,4,13
354,59,1,0,24,6,0,2,13
355,60,1,1,27,6,0,4,22
356,60,0,1,28,11,0,6,22
357,60,1,0,27,5,0,2,22
358,60,0,0,24,8,0,3,22
359,60,0,1,25,4,0,3,22
360,60,0,0,31,9,0,3,22
361,61,0,1,32,11,0,2,25
362,61,1,1,39,13,1,3,25
363,61,1,0,33,10,0,4,25
364,61,0,0,23,7,0,3,25
365,61,0,1,30,11,0,4,25
366,61,0,1,30,6,0,3,25
367,62,0,0,22,4,0,2,15
368,62,0,0,29,11,0,6,15
369,62,1,1,28,12,1,4,15
370,62,1,1,29,12,1,4,15
371,62,1,0,22,6,0,4,15
372,62,0,0,30,14,1,5,15
373,63,1,0,39,6,0,4,24
374,63,0,0,32,8,0,6,24
375,63,0,0,25,9,0,4,24
376,63,0,1,31,8,0,4,24
377,63,0,1,28,12,1,6,24
378,63,0,0,30,5,0,4,24
379,64,0,0,31,13,1,5,17
380,64,1,1,28,13,1,5,17
381,64,0,0,26,9,0,5,17
382,64,1,0,27,6,0,2,17
383,64,1,1,36,14,1,4,17
384,64,0,0,28,6,0,2,17
385,65,0,0,26,8,0,4,19
386,65,1,0,27,8,0,4,19
387,65,0,0,22,10,0,4,19
388,65,0,1,31,11,0,5,19
389,65,0,1,24,8,0,2,19
390,65,0,0,32,10,0,6,19
391,66,0,1,29,6,0,4,25
392,66,0,1,29,8,0,4,25
393,66,0,0,38,12,1,6,25
394,66,0,0,37,10,0,5,25
395,66,0,0,38,13,1,5,25
396,66,0,1,29,11,0,4,25
397,67,0,0,24,11,0,2,10
398,67,1,0,24,9,0,4,10
399,67,1,0,17,9,0,4,10
400,67,1,1,24,10,0,6,10
401,67,0,0,24,5,0,2,10
402,67,0,0,28,11,0,4,10
403,68,0,0,23,6,0,3,19
404,68,0,1,34,7,0,3,19
405,68,0,0,33,7,0,5,19
406,68,0,0,29,14,1,3,19
407,68,1,1,28,10,0,5,19
408,68,1,1,19,6,0,3,19
409,69,0,1,33,13,1,5,24
410,69,0,0,29,10,0,6,24
411,69,0,1,33,11,0,3,24
412,69,0,0,27,9,0,4,24
413,69,0,1,37,9,0,4,24
414,69,0,1,30,14,1,6,24
415,70,0,1,29,8,0,4,18
416,70,0,1,28,6,0,3,18
417,70,1,0,29,13,1,5,18
418,70,1,1,32,13,1,4,18
419,70,1,1,35,7,0,3,18
420,70,1,1,28,3,0,2,18
421,71,0,1,35,11,0,4,26
422,71,0,1,31,9,0,7,26
423,71,0,1,29,10,0,5,26
424,71,0,1,32,9,0,5,26
425,71,0,0,30,4,0,1,26
426,71,1,0,28,7,0,4,26
427,72,0,0,25,9,0,4,22
428,72,0,1,27,12,1,4,22
429,72,1,0,36,14,1,3,22
430,72,1,1,26,7,0,3,22
431,72,0,0,28,11,0,5,22
432,72,1,0,28,9,0,3,22
433,73,0,1,33,9,0,5,23
434,73,0,0,25,6,0,5,23
435,73,0,0,27,8,0,3,23
436,73,0,0,34,9,0,5,23
437,73,0,1,38,9,0,3,23
438,73,1,0,28,7,0,4,23
439,74,0,0,29,10,0,5,21
440,74,1,0,23,11,0,4,21
441,74,1,1,30,9,0,4,21
442,74,0,1,31,9,0,3,21
443,74,0,1,31,12,1,3,21
444,74,1,0,26,5,0,3,21
445,75,0,0,24,10,0,4,20
446,75,0,0,32,8,0,5,20
447,75,0,1,28,11,0,5,20
448,75,1,0,23,7,0,2,20
449,75,0,1,27,8,0,5,20
450,75,0,1,25,8,0,3,20
451,76,0,1,27,4,0,4,16
452,76,1,0,20,6,0,2,16
453,76,0,0,26,13,1,4,16
454,76,0,1,30,13,1,4,16
455,76,1,0,14,4,0,3,16
456,76,0,0,23,11,0,3,16
457,77,1,1,31,5,0,3,23
458,77,0,0,28,10,0,7,23
459,77,1,0,28,6,0,2,23
460,77,0,0,30,14,1,5,23
461,77,0,1,27,7,0,4,23
462,77,0,0,33,11,0,4,23
463,78,1,0,28,12,1,4,19
464,78,1,1,32,10,0,5,19
465,78,0,0,30,11,0,3,19
466,78,0,1,27,17,1,7,19
467,78,0,1,35,11,0,4,19
468,78,0,1,30,14,1,6,19
469,79,0,0,27,6,0,3,21
470,79,1,0,23,4,0,2,21
471,79,0,0,29,12,1,2,21
472,79,0,1,27,11,0,4,21
473,79,1,1,24,4,0,3,21
474,79,0,1,19,9,0,2,21
475,80,0,1,28,6,0,4,20
476,80,1,1,15,8,0,2,20
477,80,0,0,28,11,0,4,20
478,80,1,1,27,11,0,4,20
479,80,0,0,29,8,0,4,20
480,80,0,1,23,7,0,3,20
481,81,0,0,25,11,0,4,21
482,81,0,0,29,12,1,5,21
483,81,0,1,36,15,1,7,21
484,81,0,0,36,13,1,6,21
485,81,0,1,32,10,0,5,21
486,81,0,0,24,12,1,6,21
487,82,1,1,31,9,0,4,18
488,82,0,0,31,12,1,4,18
489,82,0,0,27,8,0,6,18
490,82,0,0,29,13,1,4,18
491,82,1,0,32,16,1,6,18
492,82,0,0,27,13,1,4,18
493,83,1,0,28,7,0,3,17
494,83,0,1,31,9,0,5,17
495,83,0,1,28,8,0,4,17
496,83,1,1,29,8,0,3,17
497,83,0,0,33,11,0,5,17
498,83,1,0,26,6,0,4,17
499,84,1,1,31,6,0,3,19
500,84,0,1,28,10,0,4,19
501,84,1,1,35,14,1,4,19
502,84,0,1,26,11,0,4,19
503,84,0,0,28,10,0,3,19
504,84,1,0,28,15,1,4,19
505,85,0,1,28,10,0,6,25
506,85,0,1,30,12,1,4,25
507,85,0,0,29,12,1,3,25
508,85,0,0,24,6,0,3,25
509,85,0,1,34,14,1,7,25
510,85,1,1,26,6,0,4,25
511,86,0,0,32,9,0,4,21
512,86,0,0,31,14,1,4,21
513,86,0,1,28,8,0,4,21
514,86,1,1,38,9,0,5,21
515,86,0,0,29,8,0,4,21
516,86,1,1,31,9,0,5,21
517,87,1,0,24,8,0,3,24
518,87,0,1,40,13,1,3,24
